Entry	Entry name	Gene names	Ensembl transcript
P35462	DRD3_HUMAN	DRD3	ENST00000383673;ENST00000460779;ENST00000467632;
P55039	DRG2_HUMAN	DRG2	ENST00000225729;
A6NNA5	DRGX_HUMAN	DRGX PRRXL1	ENST00000374139;ENST00000434016;
Q96T75	DSCR8_HUMAN	DSCR8 C21orf65 MTAG2	ENST00000357704 [Q96T75-1];ENST00000400477 [Q96T75-3];ENST00000614538 [Q96T75-1];
P32926	DSG3_HUMAN	DSG3 CDHF6	ENST00000257189;
Q86SJ6	DSG4_HUMAN	DSG4 CDHF13	ENST00000308128 [Q86SJ6-1];ENST00000359747 [Q86SJ6-2];
Q8N5C7	DTWD1_HUMAN	DTWD1 MDS009	ENST00000251250 [Q8N5C7-1];ENST00000403028 [Q8N5C7-1];ENST00000557968 [Q8N5C7-3];ENST00000558653 [Q8N5C7-1];
Q8NBA8	DTWD2_HUMAN	DTWD2	ENST00000510708;
Q8TDB6	DTX3L_HUMAN	DTX3L BBAP	ENST00000296161 [Q8TDB6-1];ENST00000383661 [Q8TDB6-2];
P0CJ87	DU4L4_HUMAN	DUX4L4	
P0CJ90	DU4L7_HUMAN	DUX4L7	
O75319	DUS11_HUMAN	DUSP11 PIR1	ENST00000272444;
Q9BV47	DUS26_HUMAN	DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3	ENST00000256261 [Q9BV47-1];ENST00000523956 [Q9BV47-1];
Q9NX74	DUS2L_HUMAN	DUS2 DUS2L	ENST00000358896;ENST00000565263;
P51452	DUS3_HUMAN	DUSP3 VHR	ENST00000226004 [P51452-1];
Q16828	DUS6_HUMAN	DUSP6 MKP3 PYST1	ENST00000279488 [Q16828-1];ENST00000308385 [Q16828-2];
Q13202	DUS8_HUMAN	DUSP8 C11orf81 VH5	ENST00000331588;ENST00000397374;ENST00000610856;ENST00000617829;ENST00000625578;ENST00000629053;
Q9UQ16	DYN3_HUMAN	DNM3 KIAA0820	ENST00000355305 [Q9UQ16-1];ENST00000367731 [Q9UQ16-2];ENST00000367733 [Q9UQ16-5];ENST00000627582 [Q9UQ16-3];
Q13627	DYR1A_HUMAN	DYRK1A DYRK MNB MNBH	ENST00000338785 [Q13627-5];ENST00000339659 [Q13627-2];ENST00000398956 [Q13627-3];ENST00000398960 [Q13627-1];
Q03001	DYST_HUMAN	DST BP230 BP240 BPAG1 DMH DT KIAA0728	ENST00000244364 [Q03001-8];ENST00000370765 [Q03001-3];ENST00000370788 [Q03001-14];ENST00000439203 [Q03001-9];
Q9NVP4	DZAN1_HUMAN	DZANK1 C20orf12 C20orf84	ENST00000262547 [Q9NVP4-1];ENST00000358866 [Q9NVP4-1];ENST00000609267 [Q9NVP4-3];
Q96AV8	E2F7_HUMAN	E2F7	ENST00000322886 [Q96AV8-1];ENST00000416496 [Q96AV8-2];
Q9Y2J2	E41L3_HUMAN	EPB41L3 DAL1 KIAA0987	ENST00000341928 [Q9Y2J2-1];ENST00000540638 [Q9Y2J2-2];ENST00000544123 [Q9Y2J2-4];
P0CF75	EBLN1_HUMAN	EBLN1	ENST00000422359;
Q9BZQ6	EDEM3_HUMAN	EDEM3 C1orf22	ENST00000318130 [Q9BZQ6-1];ENST00000367512 [Q9BZQ6-2];
Q658K8	EF1DL_HUMAN	EEF1DP3	
Q96G04	EF2KT_HUMAN	EEF2KMT FAM86A SB153	ENST00000427587 [Q96G04-1];ENST00000458008 [Q96G04-2];
Q5VUJ9	EFCB2_HUMAN	EFCAB2	ENST00000366522 [Q5VUJ9-1];ENST00000366523 [Q5VUJ9-2];ENST00000447569 [Q5VUJ9-3];
Q5THR3	EFCB6_HUMAN	EFCAB6 DJBP KIAA1672	ENST00000262726 [Q5THR3-1];ENST00000396231 [Q5THR3-2];
Q5JST6	EFHC2_HUMAN	EFHC2	ENST00000420999 [Q5JST6-1];
Q96C19	EFHD2_HUMAN	EFHD2 SWS1	ENST00000375980;
P0DPD7	EFMT4_HUMAN	EEF1AKMT4	ENST00000324557 [P0DPD7-4];
O43921	EFNA2_HUMAN	EFNA2 EPLG6 LERK6	ENST00000215368;
P52797	EFNA3_HUMAN	EFNA3 EFL2 EPLG3 LERK3	ENST00000368408 [P52797-1];
Q9H223	EHD4_HUMAN	EHD4 HCA10 HCA11 PAST4 FKSG7	ENST00000220325;
Q9NR50	EI2BG_HUMAN	EIF2B3	ENST00000360403 [Q9NR50-1];ENST00000372183 [Q9NR50-2];ENST00000620860 [Q9NR50-3];
Q9BW60	ELOV1_HUMAN	ELOVL1 SSC1 CGI-88	ENST00000372458 [Q9BW60-1];ENST00000413844 [Q9BW60-2];ENST00000621943 [Q9BW60-1];
Q9HB03	ELOV3_HUMAN	ELOVL3 CIG30	ENST00000370005;
Q9H9T3	ELP3_HUMAN	ELP3	ENST00000256398 [Q9H9T3-1];ENST00000380353 [Q9H9T3-5];ENST00000521015 [Q9H9T3-2];ENST00000537665 [Q9H9T3-4];
O00423	EMAL1_HUMAN	EML1 EMAP1 EMAPL EMAPL1	ENST00000262233 [O00423-1];ENST00000334192 [O00423-3];
O95834	EMAL2_HUMAN	EML2 EMAP2 EMAPL2	ENST00000245925 [O95834-1];ENST00000536630 [O95834-2];ENST00000587152 [O95834-3];
Q32P44	EMAL3_HUMAN	EML3	ENST00000394773 [Q32P44-1];ENST00000494448 [Q32P44-3];ENST00000529309 [Q32P44-2];
Q9HC35	EMAL4_HUMAN	EML4 C2orf2 EMAPL4	ENST00000318522 [Q9HC35-1];ENST00000402711 [Q9HC35-2];
Q05BV3	EMAL5_HUMAN	EML5	ENST00000380664 [Q05BV3-1];ENST00000554922 [Q05BV3-5];
Q5UCC4	EMC10_HUMAN	EMC10 C19orf63 HSM1 INM02 UNQ764/PRO1556	ENST00000334976 [Q5UCC4-1];ENST00000376918 [Q5UCC4-2];
Q8N766	EMC1_HUMAN	EMC1 KIAA0090 PSEC0263	ENST00000375199 [Q8N766-2];ENST00000375208 [Q8N766-4];ENST00000477853 [Q8N766-1];
Q92874	DNSL2_HUMAN	DNASE1L2 DHP1 DNAS1L2	ENST00000320700 [Q92874-1];ENST00000382437 [Q92874-2];ENST00000564065 [Q92874-1];ENST00000567494 [Q92874-1];ENST00000613572 [Q92874-2];
O60496	DOK2_HUMAN	DOK2	ENST00000276420;
Q9UPQ8	DOLK_HUMAN	DOLK KIAA1094 TMEM15 UNQ2422/PRO4980	ENST00000372586;
Q9NYP3	DONS_HUMAN	DONSON C21orf60	ENST00000303071 [Q9NYP3-1];
Q86SG4	DPCA2_HUMAN	HMGN2P46 C15orf21	
P28340	DPOD1_HUMAN	POLD1 POLD	ENST00000440232;ENST00000599857;
Q9NR33	DPOE4_HUMAN	POLE4	ENST00000483063;
Q9UGP5	DPOLL_HUMAN	POLL	ENST00000299206 [Q9UGP5-1];ENST00000370162 [Q9UGP5-1];ENST00000370169 [Q9UGP5-1];ENST00000628479 [Q9UGP5-2];
Q7Z5Q5	DPOLN_HUMAN	POLN	ENST00000382865 [Q7Z5Q5-1];ENST00000511885 [Q7Z5Q5-1];
Q6W0C5	DPPA3_HUMAN	DPPA3 STELLAR	ENST00000345088;
A6NFQ7	DPRX_HUMAN	DPRX	ENST00000376650;
P13762	DRB4_HUMAN	HLA-DRB4	ENST00000411565;
Q30154	DRB5_HUMAN	HLA-DRB5	ENST00000374975;
Q16643	DREB_HUMAN	DBN1 D0S117E	ENST00000292385 [Q16643-2];ENST00000309007 [Q16643-1];ENST00000393565 [Q16643-3];
Q9BVJ7	DUS23_HUMAN	DUSP23 LDP3 VHZ	ENST00000368107;ENST00000368108;ENST00000368109;
Q05923	DUS2_HUMAN	DUSP2 PAC1	ENST00000288943;
Q13115	DUS4_HUMAN	DUSP4 MKP2 VH2	ENST00000240100 [Q13115-1];ENST00000240101 [Q13115-2];
Q99956	DUS9_HUMAN	DUSP9 MKP4	ENST00000342782;ENST00000370167;
Q9UBX2	DUX4_HUMAN	DUX4 DUX10	ENST00000565211;ENST00000569241;ENST00000616166;ENST00000637517;
Q92997	DVL3_HUMAN	DVL3 KIAA0208	ENST00000313143 [Q92997-1];ENST00000431765 [Q92997-2];
Q86XF0	DYR2_HUMAN	DHFR2 DHFRL1 DHFRP4	ENST00000314636;ENST00000394221;ENST00000461173;ENST00000619045;
Q9HAF1	EAF6_HUMAN	MEAF6 C1orf149 CENP-28 EAF6	ENST00000296214 [Q9HAF1-1];ENST00000373073 [Q9HAF1-4];ENST00000373075 [Q9HAF1-3];ENST00000448519 [Q9HAF1-2];
Q6P2I7	EBLN2_HUMAN	EBLN2 GK006	ENST00000533473;
P42126	ECI1_HUMAN	ECI1 DCI	ENST00000301729 [P42126-1];ENST00000562238 [P42126-2];
O75521	ECI2_HUMAN	ECI2 DRS1 HCA88 PECI	ENST00000380118 [O75521-1];
Q96F86	EDC3_HUMAN	EDC3 LSM16 YJDC YJEFN2 PP844	ENST00000315127;ENST00000426797;ENST00000568176;
Q96FN9	DTD2_HUMAN	DTD2 C14orf126	ENST00000310850;ENST00000356180;
O60941	DTNB_HUMAN	DTNB	ENST00000404103 [O60941-4];ENST00000405222 [O60941-5];ENST00000406818 [O60941-1];ENST00000407038 [O60941-2];ENST00000407661 [O60941-7];ENST00000496972 [O60941-6];
Q9Y2E6	DTX4_HUMAN	DTX4 KIAA0937 RNF155	ENST00000227451 [Q9Y2E6-1];ENST00000532982 [Q9Y2E6-2];
P0CJ86	DU4L3_HUMAN	DUX4L3	
P0CJ89	DU4L6_HUMAN	DUX4L6	
Q9NRD8	DUOX2_HUMAN	DUOX2 LNOX2 THOX2	ENST00000603300;
Q9UNI6	DUS12_HUMAN	DUSP12	ENST00000367943;
Q9BY84	DUS16_HUMAN	DUSP16 KIAA1700 MKP7	ENST00000228862 [Q9BY84-2];ENST00000298573 [Q9BY84-1];ENST00000626413 [Q9BY84-1];ENST00000628303 [Q9BY84-2];
Q16829	DUS7_HUMAN	DUSP7 PYST2	ENST00000495880 [Q16829-1];
Q6XUX3	DUSTY_HUMAN	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P	ENST00000367161 [Q6XUX3-2];ENST00000367162 [Q6XUX3-1];ENST00000615388 [Q6XUX3-4];
Q6ZN92	DUTL_HUMAN		
Q96IM9	DYDC2_HUMAN	DYDC2	ENST00000256039;ENST00000372197;ENST00000372199;ENST00000444807;ENST00000616870;
Q6ZR08	DYH12_HUMAN	DNAH12 DHC3 DLP12 DNAH12L DNAH7L DNAHC3 DNHD2 HDHC3 HL19	ENST00000311202 [Q6ZR08-4];ENST00000351747 [Q6ZR08-1];
Q0VDD8	DYH14_HUMAN	DNAH14 C1orf67	ENST00000366848 [Q0VDD8-3];ENST00000366850 [Q0VDD8-3];ENST00000400952 [Q0VDD8-2];ENST00000430092 [Q0VDD8-4];ENST00000439375 [Q0VDD8-4];ENST00000445597 [Q0VDD8-1];
P63167	DYL1_HUMAN	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	ENST00000242577;ENST00000392508;ENST00000392509;ENST00000548342;ENST00000549989;
Q7RTS9	DYM_HUMAN	DYM	ENST00000269445 [Q7RTS9-1];ENST00000442713 [Q7RTS9-2];
P50570	DYN2_HUMAN	DNM2 DYN2	ENST00000355667 [P50570-1];ENST00000359692 [P50570-2];ENST00000389253 [P50570-4];ENST00000408974 [P50570-3];ENST00000585892 [P50570-5];
Q92630	DYRK2_HUMAN	DYRK2	ENST00000344096 [Q92630-1];ENST00000393555 [Q92630-2];
Q8IYY4	DZI1L_HUMAN	DZIP1L	ENST00000327532 [Q8IYY4-1];ENST00000469243 [Q8IYY4-2];
P19525	E2AK2_HUMAN	EIF2AK2 PKR PRKR	ENST00000233057 [P19525-1];ENST00000395127 [P19525-1];ENST00000405334 [P19525-2];
O43491	E41L2_HUMAN	EPB41L2	ENST00000337057 [O43491-1];ENST00000368128 [O43491-1];ENST00000392427 [O43491-2];ENST00000445890 [O43491-3];ENST00000525271 [O43491-2];ENST00000528282 [O43491-3];ENST00000530481 [O43491-4];
Q96CJ1	EAF2_HUMAN	EAF2 TRAITS BM-040	ENST00000273668 [Q96CJ1-1];
Q56P03	EAPP_HUMAN	EAPP C14orf11 BM-036	ENST00000250454;
Q9BY08	EBPL_HUMAN	EBPL EBRP ERP	ENST00000242827 [Q9BY08-1];ENST00000378268 [Q9BY08-2];ENST00000378270 [Q9BY08-3];ENST00000378272 [Q9BY08-4];
P0DPD6	ECE2_HUMAN	ECE2 KIAA0604 UNQ403/PRO740	ENST00000324557;ENST00000357474 [P0DPD6-4];ENST00000359140 [P0DPD6-3];ENST00000402825;ENST00000404464 [P0DPD6-2];
P40939	ECHA_HUMAN	HADHA HADH	ENST00000380649 [P40939-1];
Q16610	ECM1_HUMAN	ECM1	ENST00000346569 [Q16610-2];ENST00000369047 [Q16610-1];ENST00000369049 [Q16610-4];
Q92611	EDEM1_HUMAN	EDEM1 EDEM KIAA0212	ENST00000256497 [Q92611-1];ENST00000445686 [Q92611-2];
O60869	EDF1_HUMAN	EDF1	ENST00000224073 [O60869-1];ENST00000371648 [O60869-2];ENST00000371649 [O60869-3];
O00418	EF2K_HUMAN	EEF2K	ENST00000263026;
P13639	EF2_HUMAN	EEF2 EF2	ENST00000309311;
O75071	EFC14_HUMAN	EFCAB14 KIAA0494	ENST00000371933;
P60507	EFC1_HUMAN	ERVFC1	
Q9HA90	EFCC1_HUMAN	EFCC1 C3orf73 CCDC48	ENST00000436022 [Q9HA90-1];
Q8N3D4	EH1L1_HUMAN	EHBP1L1	ENST00000309295;
Q96KQ7	EHMT2_HUMAN	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	ENST00000375530 [Q96KQ7-2];ENST00000375537 [Q96KQ7-1];ENST00000383372 [Q96KQ7-2];ENST00000383373 [Q96KQ7-1];ENST00000420336;ENST00000420874 [Q96KQ7-2];ENST00000421926;ENST00000429506 [Q96KQ7-1];ENST00000450075 [Q96KQ7-1];ENST00000450229 [Q96KQ7-2];
Q9Y6B2	EID1_HUMAN	EID1 C15orf3 CRI1 RBP21 PNAS-22 PTD014	ENST00000530028 [Q9Y6B2-1];
O43812	DUX1_HUMAN	DUX1	
O77932	DXO_HUMAN	DXO DOM3L DOM3Z NG6	ENST00000337523;ENST00000375349;ENST00000375356;ENST00000383330;ENST00000399936;ENST00000399937;ENST00000414092;ENST00000419797;ENST00000426498;ENST00000427627;ENST00000427690;ENST00000432110;ENST00000439989;ENST00000443250;ENST00000446967;ENST00000453742;ENST00000454430;ENST00000458308;
Q8IVF4	DYH10_HUMAN	DNAH10 KIAA2017	ENST00000638045 [Q8IVF4-1];
Q9UFH2	DYH17_HUMAN	DNAH17 DNAHL1 DNEL2	ENST00000389840;
Q9P2D7	DYH1_HUMAN	DNAH1 DHC7 DNAHC1 KIAA1410	ENST00000420323;
Q9P225	DYH2_HUMAN	DNAH2 DNAHC2 DNHD3 KIAA1503	ENST00000389173 [Q9P225-1];ENST00000570791 [Q9P225-3];ENST00000572933 [Q9P225-1];
Q8TD57	DYH3_HUMAN	DNAH3 DNAHC3B	ENST00000261383 [Q8TD57-1];
Q8TE73	DYH5_HUMAN	DNAH5 DNAHC5 HL1 KIAA1603	ENST00000265104;
Q14204	DYHC1_HUMAN	DYNC1H1 DHC1 DNCH1 DNCL DNECL DYHC KIAA0325	ENST00000360184;
Q96FJ2	DYL2_HUMAN	DYNLL2 DLC2	ENST00000579991;
P63172	DYLT1_HUMAN	DYNLT1 TCTEL1 TCTEX-1 TCTEX1	ENST00000367089;
Q9NZJ5	E2AK3_HUMAN	EIF2AK3 PEK PERK	ENST00000303236;
Q15329	E2F5_HUMAN	E2F5	ENST00000416274 [Q15329-1];ENST00000418930 [Q15329-2];ENST00000517476 [Q15329-3];
O95905	ECD_HUMAN	ECD	ENST00000372979 [O95905-1];ENST00000430082 [O95905-3];ENST00000454759 [O95905-2];
O95672	ECEL1_HUMAN	ECEL1 XCE UNQ2431/PRO4991	ENST00000304546 [O95672-1];ENST00000409941 [O95672-2];
Q08426	ECHP_HUMAN	EHHADH ECHD	ENST00000231887 [Q08426-1];ENST00000456310 [Q08426-2];
Q5VYK3	ECM29_HUMAN	ECM29 KIAA0368	ENST00000338205;
Q9H8V3	ECT2_HUMAN	ECT2	ENST00000232458 [Q9H8V3-4];ENST00000392692 [Q9H8V3-1];ENST00000417960 [Q9H8V3-2];ENST00000441497 [Q9H8V3-4];ENST00000540509 [Q9H8V3-4];
A0A1B0GTR0	EDD13_HUMAN	EDDM13	ENST00000637802;
P05305	EDN1_HUMAN	EDN1	ENST00000379375;
P26641	EF1G_HUMAN	EEF1G EF1G PRO1608	ENST00000329251 [P26641-1];
Q8IY85	EFC13_HUMAN	EFCAB13 C17orf57	ENST00000331493 [Q8IY85-1];ENST00000517484 [Q8IY85-2];
P43897	EFTS_HUMAN	TSFM	ENST00000323833 [P43897-2];ENST00000454289 [P43897-1];ENST00000540550 [P43897-3];ENST00000543727 [P43897-4];
P01133	EGF_HUMAN	EGF	ENST00000265171 [P01133-1];ENST00000503392 [P01133-3];ENST00000509793 [P01133-2];
Q96KS0	EGLN2_HUMAN	EGLN2 EIT6	ENST00000303961 [Q96KS0-1];ENST00000406058 [Q96KS0-1];ENST00000593726 [Q96KS0-1];
P18146	EGR1_HUMAN	EGR1 KROX24 ZNF225	ENST00000239938;
Q9HCM4	E41L5_HUMAN	EPB41L5 KIAA1548	ENST00000263713 [Q9HCM4-1];ENST00000331393 [Q9HCM4-2];ENST00000443124 [Q9HCM4-2];ENST00000443902 [Q9HCM4-4];ENST00000452780 [Q9HCM4-3];
Q66K89	E4F1_HUMAN	E4F1 E4F	ENST00000301727;
P48664	EAA4_HUMAN	SLC1A6 EAAT4	ENST00000221742 [P48664-1];ENST00000544886 [P48664-2];ENST00000598504 [P48664-2];
Q99848	EBP2_HUMAN	EBNA1BP2 EBP2	ENST00000236051;
P55084	ECHB_HUMAN	HADHB MSTP029	ENST00000317799 [P55084-1];ENST00000545822 [P55084-2];
Q9NTX5	ECHD1_HUMAN	ECHDC1	ENST00000368289 [Q9NTX5-5];ENST00000368291 [Q9NTX5-5];ENST00000430841 [Q9NTX5-2];ENST00000454591 [Q9NTX5-3];ENST00000454859 [Q9NTX5-2];ENST00000474289 [Q9NTX5-2];ENST00000528402 [Q9NTX5-4];ENST00000531967 [Q9NTX5-1];
P12724	ECP_HUMAN	RNASE3 ECP RNS3	ENST00000304639;
P20800	EDN2_HUMAN	EDN2	ENST00000372587;
O75530	EED_HUMAN	EED	ENST00000263360 [O75530-1];ENST00000327320 [O75530-3];ENST00000351625 [O75530-2];
P29692	EF1D_HUMAN	EEF1D EF1D	ENST00000317198 [P29692-1];ENST00000395119 [P29692-1];ENST00000419152 [P29692-1];ENST00000423316 [P29692-2];ENST00000442189 [P29692-2];ENST00000524624 [P29692-3];ENST00000526838 [P29692-4];ENST00000528610 [P29692-3];ENST00000529272 [P29692-1];ENST00000614575 [P29692-1];ENST00000615067 [P29692-1];ENST00000615698 [P29692-1];ENST00000619144 [P29692-2];ENST00000620155 [P29692-2];ENST00000631698 [P29692-4];ENST00000632587 [P29692-1];ENST00000632675 [P29692-3];ENST00000632965 [P29692-3];
Q6NXP0	EFC12_HUMAN	EFCAB12 C3orf25	ENST00000326085;ENST00000505956;
P60608	EFC2_HUMAN	ERVFC1-1	
Q8N4Y2	EFC4A_HUMAN	CRACR2B EFCAB4A	ENST00000450448 [Q8N4Y2-3];ENST00000525077 [Q8N4Y2-1];ENST00000528542 [Q8N4Y2-3];
Q9HAE3	EFCB1_HUMAN	EFCAB1	ENST00000262103 [Q9HAE3-1];ENST00000433756 [Q9HAE3-2];ENST00000523092 [Q9HAE3-2];
A8MWE9	EFCB8_HUMAN	EFCAB8	ENST00000618684;
Q96RP9	EFGM_HUMAN	GFM1 EFG EFG1 GFM	ENST00000264263 [Q96RP9-2];ENST00000486715 [Q96RP9-1];
Q9BUP0	EFHD1_HUMAN	EFHD1 SWS2 PP3051	ENST00000264059 [Q9BUP0-1];ENST00000409613 [Q9BUP0-2];
Q7Z2Z2	EFL1_HUMAN	EFL1 EFTUD1 FAM42A	ENST00000268206 [Q7Z2Z2-1];ENST00000359445 [Q7Z2Z2-2];
Q8WVE0	EFMT1_HUMAN	EEF1AKMT1 N6AMT2	ENST00000382754;ENST00000382758;
P52803	EFNA5_HUMAN	EFNA5 EPLG7 LERK7	ENST00000333274;
Q0D2K5	EGFEM_HUMAN	EGFEM1P C3orf50 NCRNA00259	
Q8IUX8	EGFL6_HUMAN	EGFL6 MAEG PP648 UNQ281/PRO320	ENST00000361306 [Q8IUX8-1];ENST00000380602 [Q8IUX8-2];
Q9UHF1	EGFL7_HUMAN	EGFL7 MEGF7 UNQ187/PRO1449	ENST00000308874;ENST00000371698;ENST00000371699;ENST00000406555;
Q99944	EGFL8_HUMAN	EGFL8 C6orf8 NG3 UNQ8752/PRO29920	ENST00000333845;ENST00000395512;ENST00000399648;ENST00000413733;ENST00000414111;ENST00000418252;ENST00000433364;ENST00000436155;ENST00000443511;ENST00000447331;ENST00000450526;ENST00000452189;ENST00000452290;ENST00000455889;
P00533	EGFR_HUMAN	EGFR ERBB ERBB1 HER1	ENST00000275493 [P00533-1];ENST00000342916 [P00533-4];ENST00000344576 [P00533-3];ENST00000420316 [P00533-2];
Q05215	EGR4_HUMAN	EGR4	ENST00000545030;
Q9NZN4	EHD2_HUMAN	EHD2 PAST2	ENST00000263277 [Q9NZN4-1];ENST00000538399 [Q9NZN4-2];
Q9NZN3	EHD3_HUMAN	EHD3 EHD2 PAST3	ENST00000322054 [Q9NZN3-1];
P41214	EIF2D_HUMAN	EIF2D HCA56 LGTN	ENST00000271764 [P41214-1];ENST00000367114 [P41214-2];
O75822	EIF3J_HUMAN	EIF3J EIF3S1 PRO0391	ENST00000261868 [O75822-1];ENST00000424492 [O75822-3];ENST00000535391 [O75822-2];
Q9UKW6	ELF5_HUMAN	ELF5 ESE2	ENST00000257832 [Q9UKW6-2];ENST00000312319 [Q9UKW6-1];ENST00000429939 [Q9UKW6-4];ENST00000532417 [Q9UKW6-3];
P41970	ELK3_HUMAN	ELK3 NET SAP2	ENST00000228741;
P28324	ELK4_HUMAN	ELK4 SAP1	ENST00000289703 [P28324-2];ENST00000357992 [P28324-1];ENST00000616704 [P28324-1];
P15502	ELN_HUMAN	ELN	ENST00000252034 [P15502-2];ENST00000320399 [P15502-4];ENST00000357036 [P15502-5];ENST00000380553 [P15502-11];ENST00000380562 [P15502-1];ENST00000380575 [P15502-7];ENST00000380576 [P15502-13];ENST00000380584 [P15502-8];ENST00000429192 [P15502-12];
Q8IYF1	ELOA2_HUMAN	ELOA2 TCEB3B TCEB3L	ENST00000332567;
A1L3X0	ELOV7_HUMAN	ELOVL7	ENST00000425382;ENST00000508821;
Q8WYP5	ELYS_HUMAN	AHCTF1 ELYS TMBS62 MSTP108	ENST00000326225 [Q8WYP5-3];ENST00000366508 [Q8WYP5-2];
Q96A84	EMID1_HUMAN	EMID1 EMU1	ENST00000334018 [Q96A84-3];
Q9Y6C2	EMIL1_HUMAN	EMILIN1 EMI	ENST00000380320 [Q9Y6C2-1];
P54851	EMP2_HUMAN	EMP2 XMP	ENST00000359543;ENST00000536829;
Q9UHY7	ENOPH_HUMAN	ENOPH1 MASA MSTP145	ENST00000273920 [Q9UHY7-1];ENST00000505846 [Q9UHY7-2];
O14640	DVL1_HUMAN	DVL1	ENST00000378888 [O14640-1];ENST00000378891 [O14640-2];
P54792	DVLP1_HUMAN	DVL1P1 DVL DVL1 DVL1L1	
A2CJ06	DYTN_HUMAN	DYTN	ENST00000452335;
Q15125	EBP_HUMAN	EBP	ENST00000495186;
Q6P2E9	EDC4_HUMAN	EDC4 HEDLS	ENST00000358933 [Q6P2E9-1];
Q9BV94	EDEM2_HUMAN	EDEM2 C20orf31 C20orf49 UNQ573/PRO1135	ENST00000374491 [Q9BV94-2];ENST00000374492 [Q9BV94-1];
Q15075	EEA1_HUMAN	EEA1 ZFYVE2	ENST00000322349;
Q8N7U6	EFHB_HUMAN	EFHB	ENST00000295824 [Q8N7U6-1];ENST00000344838 [Q8N7U6-3];
Q5JVL4	EFHC1_HUMAN	EFHC1	ENST00000371068 [Q5JVL4-1];ENST00000538167 [Q5JVL4-3];ENST00000636489 [Q5JVL4-3];ENST00000636954 [Q5JVL4-3];
Q5JPI9	EFMT2_HUMAN	EEF1AKMT2 C10orf138 METTL10	ENST00000368836;
P52799	EFNB2_HUMAN	EFNB2 EPLG5 HTKL LERK5	ENST00000245323;
Q9H4M9	EHD1_HUMAN	EHD1 PAST PAST1 CDABP0131	ENST00000320631;ENST00000359393;
Q9NZC4	EHF_HUMAN	EHF ESE3 ESE3B ESEJ	ENST00000257831 [Q9NZC4-1];ENST00000450654 [Q9NZC4-2];ENST00000530286 [Q9NZC4-1];ENST00000531794 [Q9NZC4-3];ENST00000533754 [Q9NZC4-1];
Q9H9B1	EHMT1_HUMAN	EHMT1 EUHMTASE1 GLP KIAA1876 KMT1D	ENST00000371394 [Q9H9B1-2];ENST00000460843 [Q9H9B1-1];ENST00000462484 [Q9H9B1-4];
P49770	EI2BB_HUMAN	EIF2B2 EIF2BB	ENST00000266126;
Q8N9N8	EIF1A_HUMAN	EIF1AD	ENST00000312234;ENST00000526451;ENST00000527249;ENST00000529964;ENST00000533544;
P41567	EIF1_HUMAN	EIF1 SUI1	ENST00000469257;
Q14152	EIF3A_HUMAN	EIF3A EIF3S10 KIAA0139	ENST00000369144 [Q14152-1];ENST00000541549 [Q14152-1];
O15372	EIF3H_HUMAN	EIF3H EIF3S3	ENST00000521861;
A0A087WX78	ELB3C_HUMAN	ELOA3C	
O00472	ELL2_HUMAN	ELL2	ENST00000237853 [O00472-1];
Q96JJ3	ELMO2_HUMAN	ELMO2 CED12A KIAA1834	ENST00000290246 [Q96JJ3-1];ENST00000372176 [Q96JJ3-3];ENST00000396391 [Q96JJ3-1];
Q14241	ELOA1_HUMAN	ELOA TCEB3 MSTP059	ENST00000418390;ENST00000613537;
Q15370	ELOB_HUMAN	ELOB TCEB2	ENST00000262306 [Q15370-2];ENST00000409906 [Q15370-1];
Q9GZR5	ELOV4_HUMAN	ELOVL4	ENST00000369816;
Q96EB1	ELP4_HUMAN	ELP4 C11orf19 PAXNEB	ENST00000379163 [Q96EB1-3];ENST00000640961 [Q96EB1-1];
Q6ZMW3	EMAL6_HUMAN	EML6 EML5L	ENST00000356458 [Q6ZMW3-1];
Q6PCB8	EMB_HUMAN	EMB	ENST00000303221 [Q6PCB8-1];ENST00000514111 [Q6PCB8-2];
Q15006	EMC2_HUMAN	EMC2 KIAA0103 TTC35	ENST00000220853;
Q9P0I2	EMC3_HUMAN	EMC3 TMEM111	ENST00000245046 [Q9P0I2-1];
Q9NPA0	EMC7_HUMAN	EMC7 C11orf3 C15orf24 HT022 UNQ905/PRO1926	ENST00000256545;
Q03111	ENL_HUMAN	MLLT1 ENL LTG19 YEATS1	ENST00000252674;
O43281	EFS_HUMAN	EFS CASS3	ENST00000216733 [O43281-1];ENST00000351354 [O43281-2];ENST00000429593 [O43281-3];
Q63HQ2	EGFLA_HUMAN	EGFLAM AGRINL AGRNL PIKA	ENST00000322350 [Q63HQ2-2];ENST00000336740 [Q63HQ2-4];ENST00000354891 [Q63HQ2-1];ENST00000397202 [Q63HQ2-3];ENST00000397210 [Q63HQ2-5];ENST00000506135 [Q63HQ2-5];ENST00000514476 [Q63HQ2-5];
Q9GZT9	EGLN1_HUMAN	EGLN1 C1orf12 PNAS-118 PNAS-137	ENST00000366641 [Q9GZT9-1];
Q06889	EGR3_HUMAN	EGR3 PILOT	ENST00000317216 [Q06889-1];ENST00000522910 [Q06889-2];
