Entry	Entry name	Gene names	Ensembl transcript
O15427	MOT4_HUMAN	SLC16A3 MCT4	ENST00000392339;ENST00000392341;ENST00000581287;ENST00000582743;ENST00000617373;ENST00000619321;
Q13163	MP2K5_HUMAN	MAP2K5 MEK5 MKK5 PRKMK5	ENST00000178640 [Q13163-1];ENST00000354498 [Q13163-4];ENST00000395476 [Q13163-2];
Q8N3R9	MPP5_HUMAN	MPP5	ENST00000261681 [Q8N3R9-1];ENST00000555925 [Q8N3R9-2];
Q96NY9	MUS81_HUMAN	MUS81	ENST00000308110;
P53602	MVD1_HUMAN	MVD MPD	ENST00000301012;
P20591	MX1_HUMAN	MX1	ENST00000398598 [P20591-1];ENST00000398600 [P20591-1];ENST00000455164 [P20591-1];ENST00000619682 [P20591-2];
P20592	MX2_HUMAN	MX2	ENST00000330714 [P20592-1];
P50539	MXI1_HUMAN	MXI1 BHLHC11	ENST00000239007 [P50539-1];ENST00000332674 [P50539-3];ENST00000361248 [P50539-4];ENST00000369612 [P50539-2];
Q96S97	MYADM_HUMAN	MYADM UNQ553/PRO1110	ENST00000336967;ENST00000391768;ENST00000391769;ENST00000391770;ENST00000391771;
P10244	MYBB_HUMAN	MYBL2 BMYB	ENST00000217026 [P10244-1];ENST00000396863 [P10244-2];
P04198	MYCN_HUMAN	MYCN BHLHE37 NMYC	ENST00000281043;
Q99836	MYD88_HUMAN	MYD88	ENST00000443433;ENST00000495303;
P23409	MYF6_HUMAN	MYF6 BHLHC4 MRF4	ENST00000228641;
Q8WY64	MYLIP_HUMAN	MYLIP BZF1 IDOL BM-023 PP5242	ENST00000356840 [Q8WY64-1];
P28698	MZF1_HUMAN	MZF1 MZF ZNF42 ZSCAN6	ENST00000215057 [P28698-1];ENST00000594234 [P28698-3];ENST00000599369 [P28698-1];
Q86UY6	NAA40_HUMAN	NAA40 NAT11 PATT1	ENST00000377793 [Q86UY6-1];ENST00000542163 [Q86UY6-3];
Q02083	NAAA_HUMAN	NAAA ASAHL PLT	ENST00000286733 [Q02083-1];ENST00000507956 [Q02083-2];
Q15742	NAB2_HUMAN	NAB2 MADER	ENST00000300131 [Q15742-1];ENST00000342556 [Q15742-3];
P17050	NAGAB_HUMAN	NAGA	ENST00000396398;ENST00000402937;ENST00000403363;
Q9H0A0	NAT10_HUMAN	NAT10 ALP KIAA1709	ENST00000257829 [Q9H0A0-1];ENST00000531159 [Q9H0A0-2];
Q9UHF3	NAT8B_HUMAN	NAT8B CML2	
Q8N9F0	NAT8L_HUMAN	NAT8L CML3	ENST00000423729;
Q8IVL0	NAV3_HUMAN	NAV3 KIAA0938 POMFIL1 STEERIN3	ENST00000397909 [Q8IVL0-1];ENST00000536525 [Q8IVL0-2];
Q6BCY4	NB5R2_HUMAN	CYB5R2	ENST00000299498 [Q6BCY4-1];ENST00000524790 [Q6BCY4-2];ENST00000533558 [Q6BCY4-1];
Q7L1T6	NB5R4_HUMAN	CYB5R4 NCB5OR	ENST00000369681;
P41271	NBL1_HUMAN	NBL1 DAN DAND1	ENST00000289749 [P41271-2];ENST00000375136 [P41271-1];ENST00000548815 [P41271-1];ENST00000618761 [P41271-1];ENST00000621723 [P41271-1];ENST00000622566 [P41271-1];
O60934	NBN_HUMAN	NBN NBS NBS1 P95	ENST00000265433;
Q15080	NCF4_HUMAN	NCF4 SH3PXD4	ENST00000248899 [Q15080-1];ENST00000397147 [Q15080-3];
P16333	NCK1_HUMAN	NCK1 NCK	ENST00000288986 [P16333-1];ENST00000469404 [P16333-2];ENST00000481752 [P16333-1];
P55160	NCKPL_HUMAN	NCKAP1L HEM1	ENST00000293373 [P55160-1];ENST00000545638 [P55160-2];
Q15596	NCOA2_HUMAN	NCOA2 BHLHE75 SRC2 TIF2	ENST00000452400;
Q14686	NCOA6_HUMAN	NCOA6 AIB3 KIAA0181 RAP250 TRBP	ENST00000359003;ENST00000374796;
O75376	NCOR1_HUMAN	NCOR1 KIAA1047	ENST00000268712 [O75376-1];ENST00000395848 [O75376-3];ENST00000395851 [O75376-2];
P50851	LRBA_HUMAN	LRBA BGL CDC4L LBA	ENST00000357115 [P50851-1];ENST00000510413 [P50851-2];
Q2I0M4	LRC26_HUMAN	LRRC26 CAPC	ENST00000371542 [Q2I0M4-1];
Q8TDW0	LRC8C_HUMAN	LRRC8C AD158 FAD158	ENST00000370454;
Q96JA1	LRIG1_HUMAN	LRIG1 LIG1	ENST00000273261 [Q96JA1-1];ENST00000383703 [Q96JA1-2];ENST00000631853 [Q96JA1-1];ENST00000633161 [Q96JA1-2];
Q12912	LRMP_HUMAN	LRMP JAW1	ENST00000354454 [Q12912-2];ENST00000547044 [Q12912-2];ENST00000548766 [Q12912-2];
Q9Y561	LRP12_HUMAN	LRP12 ST7	ENST00000276654 [Q9Y561-1];ENST00000424843 [Q9Y561-2];
Q9Y333	LSM2_HUMAN	LSM2 C6orf28 G7B	ENST00000375661;ENST00000383391;ENST00000424975;ENST00000432122;ENST00000434125;ENST00000455705;
P62310	LSM3_HUMAN	LSM3 MDS017	ENST00000306024;
Q6IAA8	LTOR1_HUMAN	LAMTOR1 C11orf59 PDRO PP7157	ENST00000278671;
Q0VGL1	LTOR4_HUMAN	LAMTOR4 C7orf59	ENST00000341942;
P28300	LYOX_HUMAN	LOX	ENST00000231004;ENST00000639739;
P41279	M3K8_HUMAN	MAP3K8 COT ESTF	ENST00000263056 [P41279-1];ENST00000375321 [P41279-1];ENST00000542547 [P41279-1];
P33908	MA1A1_HUMAN	MAN1A1	ENST00000368468 [P33908-1];
Q9UKM7	MA1B1_HUMAN	MAN1B1 UNQ747/PRO1477	ENST00000371589;
Q9NTJ4	MA2C1_HUMAN	MAN2C1 MANA MANA1	ENST00000267978 [Q9NTJ4-1];ENST00000563622 [Q9NTJ4-3];ENST00000565683 [Q9NTJ4-4];ENST00000569482 [Q9NTJ4-2];
Q8WXG6	MADD_HUMAN	MADD DENN IG20 KIAA0358	ENST00000311027 [Q8WXG6-1];ENST00000349238 [Q8WXG6-2];ENST00000395336 [Q8WXG6-7];ENST00000395344 [Q8WXG6-8];ENST00000402192 [Q8WXG6-3];ENST00000402799 [Q8WXG6-5];ENST00000406482 [Q8WXG6-6];ENST00000407859 [Q8WXG6-4];
P43360	MAGA6_HUMAN	MAGEA6 MAGE6	ENST00000329342;ENST00000616035;
Q9UBF1	MAGC2_HUMAN	MAGEC2 HCA587 MAGEE1	ENST00000247452;
